universe,lever_varied,level_varied,flash_condition_id,pro_condition_id,delta_effect,delta_ci_lo,delta_ci_hi,delta_boot_std,delta_classification,ci_excludes_zero
L1,1,L1,flash_L01_L1,pro_L01_L1,-0.0889,-0.3854,0.2235,0.1541,Null,False
L2,1,L1,flash_L01_L1,pro_L01_L1,-0.0889,-0.3854,0.2235,0.1541,Null,False
L3,1,L1,flash_L01_L1,pro_L01_L1,-0.2035,-0.5009,0.0972,0.1554,Directional,False
L1,1,L3,flash_L01_L3,pro_L01_L3,-0.0349,-0.1893,0.1721,0.0906,Null,False
L2,1,L3,flash_L01_L3,pro_L01_L3,-0.0349,-0.1893,0.1721,0.0906,Null,False
L3,1,L3,flash_L01_L3,pro_L01_L3,-0.1235,-0.339,0.0603,0.1008,Directional,False
L1,2,L2,flash_L02_L2,pro_L02_L2,0.1251,-0.1748,0.4361,0.1533,Directional,False
L2,2,L2,flash_L02_L2,pro_L02_L2,0.1251,-0.1748,0.4361,0.1533,Directional,False
L3,2,L2,flash_L02_L2,pro_L02_L2,0.0133,-0.29,0.3144,0.1533,Null,
L1,3,L2,flash_L03_L2,pro_L03_L2,-0.0478,-0.3611,0.2808,0.1641,Null,False
L2,3,L2,flash_L03_L2,pro_L03_L2,-0.0478,-0.3611,0.2808,0.1641,Null,False
L3,3,L2,flash_L03_L2,pro_L03_L2,-0.1701,-0.4833,0.157,0.1632,Directional,False
L1,4,L2,flash_L04_L2,pro_L04_L2,0.0664,-0.1887,0.3766,0.1424,Null,False
L2,4,L2,flash_L04_L2,pro_L04_L2,0.0664,-0.1887,0.3766,0.1424,Null,False
L3,4,L2,flash_L04_L2,pro_L04_L2,-0.0601,-0.346,0.2331,0.1461,Null,False
L1,4,L3,flash_L04_L3,pro_L04_L3,0.1159,-0.1081,0.4188,0.1319,Directional,False
L2,4,L3,flash_L04_L3,pro_L04_L3,0.1159,-0.1081,0.4188,0.1319,Directional,False
L3,4,L3,flash_L04_L3,pro_L04_L3,-0.0008,-0.2671,0.2762,0.1369,Null,
L1,8,L1,flash_L08_L1,pro_L08_L1,0.0331,-0.1984,0.2976,0.1265,Null,False
L2,8,L1,flash_L08_L1,pro_L08_L1,0.0331,-0.1984,0.2976,0.1265,Null,False
L3,8,L1,flash_L08_L1,pro_L08_L1,-0.0625,-0.3262,0.1783,0.1282,Null,False
L1,8,L2,flash_L08_L2,pro_L08_L2,-0.0882,-0.3088,0.125,0.1097,Null,False
L2,8,L2,flash_L08_L2,pro_L08_L2,-0.0882,-0.3088,0.125,0.1097,Null,False
L3,8,L2,flash_L08_L2,pro_L08_L2,-0.1806,-0.4236,0.0214,0.1126,Directional,False
L1,8,L4,flash_L08_L4,pro_L08_L4,0.0294,-0.1765,0.2421,0.1047,Null,
L2,8,L4,flash_L08_L4,pro_L08_L4,0.0294,-0.1765,0.2421,0.1047,Null,
L3,8,L4,flash_L08_L4,pro_L08_L4,-0.0556,-0.2847,0.148,0.1081,Null,False
L1,8,L5,flash_L08_L5,pro_L08_L5,0.0294,-0.1706,0.2389,0.1027,Null,
L2,8,L5,flash_L08_L5,pro_L08_L5,0.0294,-0.1706,0.2389,0.1027,Null,
L3,8,L5,flash_L08_L5,pro_L08_L5,-0.0556,-0.2822,0.1429,0.1062,Null,False
L1,9,L2,flash_L09_L2,pro_L09_L2,0.0948,-0.1247,0.3714,0.1264,Null,False
L2,9,L2,flash_L09_L2,pro_L09_L2,0.0948,-0.1247,0.3714,0.1264,Null,False
L3,9,L2,flash_L09_L2,pro_L09_L2,-0.0189,-0.28,0.2431,0.1334,Null,
L1,9,L3,flash_L09_L3,pro_L09_L3,0.0255,-0.3604,0.3705,0.1859,Null,
L2,9,L3,flash_L09_L3,pro_L09_L3,0.0255,-0.3604,0.3705,0.1859,Null,
L3,9,L3,flash_L09_L3,pro_L09_L3,0.0496,-0.3161,0.3743,0.1762,Null,False
L1,11,L2,flash_L11_L2,pro_L11_L2,-0.058,-0.3847,0.222,0.1533,Null,False
L2,11,L2,flash_L11_L2,pro_L11_L2,-0.058,-0.3847,0.222,0.1533,Null,False
L3,11,L2,flash_L11_L2,pro_L11_L2,-0.1903,-0.592,0.0885,0.1682,Directional,False
L1,11,L3,flash_L11_L3,pro_L11_L3,0.0556,-0.263,0.3364,0.1531,Null,False
L2,11,L3,flash_L11_L3,pro_L11_L3,0.0556,-0.263,0.3364,0.1531,Null,False
L3,11,L3,flash_L11_L3,pro_L11_L3,-0.0991,-0.4805,0.1871,0.1691,Null,False
L1,12,L2,flash_L12_L2,pro_L12_L2,-0.0037,-0.1429,0.2035,0.0864,Null,
L2,12,L2,flash_L12_L2,pro_L12_L2,-0.0037,-0.1429,0.2035,0.0864,Null,
L3,12,L2,flash_L12_L2,pro_L12_L2,-0.1021,-0.3071,0.0698,0.0963,Directional,False
L1,12,L3,flash_L12_L3,pro_L12_L3,-0.1287,-0.4,0.0382,0.1078,Directional,False
L2,12,L3,flash_L12_L3,pro_L12_L3,-0.1287,-0.4,0.0382,0.1078,Directional,False
L3,12,L3,flash_L12_L3,pro_L12_L3,-0.191,-0.4381,-0.0204,0.1045,Meaningful,True
L1,13,L2,flash_L13_L2,pro_L13_L2,-0.0294,-0.1429,0.0588,0.0507,Null,
L2,13,L2,flash_L13_L2,pro_L13_L2,-0.0294,-0.1429,0.0588,0.0507,Null,
L3,13,L2,flash_L13_L2,pro_L13_L2,-0.0312,-0.1538,0.0625,0.0538,Null,False
L1,15,L1,flash_L15_L1,pro_L15_L1,-0.0037,-0.2308,0.0968,0.0738,Null,
L2,15,L1,flash_L15_L1,pro_L15_L1,-0.0037,-0.2308,0.0968,0.0738,Null,
L3,15,L1,flash_L15_L1,pro_L15_L1,-0.0799,-0.3048,0.0333,0.0813,Null,False
L1,15,L3,flash_L15_L3,pro_L15_L3,-0.0037,-0.2308,0.0968,0.0738,Null,
L2,15,L3,flash_L15_L3,pro_L15_L3,-0.0037,-0.2308,0.0968,0.0738,Null,
L3,15,L3,flash_L15_L3,pro_L15_L3,-0.0799,-0.3048,0.0333,0.0813,Null,False
L1,16,L2,flash_L16_L2,pro_L16_L2,-0.0037,-0.2308,0.0968,0.0738,Null,
L2,16,L2,flash_L16_L2,pro_L16_L2,-0.0037,-0.2308,0.0968,0.0738,Null,
L3,16,L2,flash_L16_L2,pro_L16_L2,-0.0799,-0.3048,0.0333,0.0813,Null,False
L1,16,L3,flash_L16_L3,pro_L16_L3,-0.0037,-0.2308,0.0968,0.0738,Null,
L2,16,L3,flash_L16_L3,pro_L16_L3,-0.0037,-0.2308,0.0968,0.0738,Null,
L3,16,L3,flash_L16_L3,pro_L16_L3,-0.0799,-0.3048,0.0333,0.0813,Null,False
L1,17,L2,flash_L17_L2,pro_L17_L2,-0.3125,-0.5888,0.0286,0.1555,Directional,False
L2,17,L2,flash_L17_L2,pro_L17_L2,-0.3125,-0.5888,0.0286,0.1555,Directional,False
L3,17,L2,flash_L17_L2,pro_L17_L2,-0.2778,-0.5674,0.0551,0.1568,Directional,False
L1,17,L3,flash_L17_L3,pro_L17_L3,-0.2096,-0.4565,-0.0168,0.1116,Meaningful,True
L2,17,L3,flash_L17_L3,pro_L17_L3,-0.2096,-0.4565,-0.0168,0.1116,Meaningful,True
L3,17,L3,flash_L17_L3,pro_L17_L3,-0.2118,-0.4805,0.0329,0.1319,Directional,False
L1,18,L2,flash_L18_L2,pro_L18_L2,-0.1534,-0.5742,0.2674,0.2151,Directional,False
L2,18,L2,flash_L18_L2,pro_L18_L2,-0.1534,-0.5742,0.2674,0.2151,Directional,False
L3,18,L2,flash_L18_L2,pro_L18_L2,-0.1618,-0.5849,0.2584,0.2142,Directional,False
L1,18,L3,flash_L18_L3,pro_L18_L3,-0.3015,-0.692,0.0798,0.1989,Directional,False
L2,18,L3,flash_L18_L3,pro_L18_L3,-0.3015,-0.692,0.0798,0.1989,Directional,False
L3,18,L3,flash_L18_L3,pro_L18_L3,-0.3097,-0.6836,0.0585,0.1895,Directional,False
L1,18,L4,flash_L18_L4,pro_L18_L4,,,,,Unknown,
L2,18,L4,flash_L18_L4,pro_L18_L4,,,,,Unknown,
L3,18,L4,flash_L18_L4,pro_L18_L4,,,,,Unknown,
L1,19,L2,flash_L19_L2,pro_L19_L2,0.0331,-0.1974,0.2807,0.1205,Null,False
L2,19,L2,flash_L19_L2,pro_L19_L2,0.0331,-0.1974,0.2807,0.1205,Null,False
L3,19,L2,flash_L19_L2,pro_L19_L2,0.0243,-0.1973,0.25,0.1112,Null,
L1,19,L3,flash_L19_L3,pro_L19_L3,0.0047,-0.3481,0.2854,0.1589,Null,
L2,19,L3,flash_L19_L3,pro_L19_L3,0.0047,-0.3481,0.2854,0.1589,Null,
L3,19,L3,flash_L19_L3,pro_L19_L3,-0.1149,-0.4811,0.1686,0.1634,Directional,False
L1,22,L2,flash_L22_L2,pro_L22_L2,0.0037,-0.2435,0.2674,0.13,Null,
L2,22,L2,flash_L22_L2,pro_L22_L2,0.0037,-0.2435,0.2674,0.13,Null,
L3,22,L2,flash_L22_L2,pro_L22_L2,-0.0938,-0.364,0.1562,0.132,Null,False
L1,24,L2,flash_L24_L2,pro_L24_L2,0.0294,0.0,0.1508,0.0292,Null,
L2,24,L2,flash_L24_L2,pro_L24_L2,0.0294,0.0,0.1508,0.0292,Null,
L3,24,L2,flash_L24_L2,pro_L24_L2,0.0312,0.0,0.1562,0.031,Null,False
L1,24,L3,flash_L24_L3,pro_L24_L3,-0.0588,-0.1875,0.0,0.0398,Null,False
L2,24,L3,flash_L24_L3,pro_L24_L3,-0.0588,-0.1875,0.0,0.0398,Null,False
L3,24,L3,flash_L24_L3,pro_L24_L3,-0.0625,-0.2031,0.0,0.0423,Null,False
