condition_id,model,universe,lever_varied,level_varied,is_baseline,n_total,n_valid,n_api_fail,n_violated_valid,n_intact_valid,dr_violated,dr_intact,gap,gap_ci_lo,gap_ci_hi,effect_size,effect_ci_lo,effect_ci_hi,effect_boot_std,classification,ci_excludes_zero,cohens_h,parse_failure_rate,api_failure_rate,degenerate_variance,insufficient_n,n_parsed_strict12,n_parsed_fallback34,s1_as_no_effect,s1_classification,s2_as_random_effect,s2_classification,s3_arcsine_effect,s3_arcsine_gap_cond,s3_arcsine_gap_base,s3_classification,s4_parser_strict_effect,s4_ci_lo,s4_ci_hi,s4_classification,s5_parse_fail_flagged,s6_quartile_analysis,robustness_concern,hidden_signal_candidate,effect_size_shrunken
flash_L01_L1,deepseek-v4-flash,L3,1,L1,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L01_L3,deepseek-v4-flash,L3,1,L3,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L11_L2,deepseek-v4-flash,L3,11,L2,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L11_L3,deepseek-v4-flash,L3,11,L3,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L12_L2,deepseek-v4-flash,L3,12,L2,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L12_L3,deepseek-v4-flash,L3,12,L3,False,50,50,0,32,18,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,50,0,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L13_L2,deepseek-v4-flash,L3,13,L2,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L15_L1,deepseek-v4-flash,L3,15,L1,False,50,49,0,31,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.02,0.0,True,False,49,0,0.0,Null,0.0156,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L15_L3,deepseek-v4-flash,L3,15,L3,False,50,25,0,18,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.5,0.0,True,False,25,0,0.0,Null,-0.0868,Null,0.0,0.0,0.0,Null,,,,Unknown,True,,False,False,0.0
flash_L16_L2,deepseek-v4-flash,L3,16,L2,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L16_L3,deepseek-v4-flash,L3,16,L3,False,50,50,0,32,18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,0.0
flash_L17_L2,deepseek-v4-flash,L3,17,L2,False,50,50,0,32,18,0.8438,0.8333,0.0104,-0.1852,0.2537,0.0104,-0.1852,0.2537,0.1115,Null,,0.0283,0.0,0.0,False,False,50,0,0.0104,Null,0.0104,Null,0.0283,0.0283,0.0,Null,,,,Unknown,False,,False,False,0.0052
flash_L17_L3,deepseek-v4-flash,L3,17,L3,False,50,50,0,32,18,0.0312,0.0,0.0312,0.0,0.1613,0.0312,0.0,0.1613,0.0311,Null,False,0.3554,0.0,0.0,False,False,50,0,0.0312,Null,0.0312,Null,0.3554,0.3554,0.0,Meaningful(no_CI),,,,Unknown,False,,False,False,0.0289
flash_L18_L2,deepseek-v4-flash,L3,18,L2,False,50,46,0,30,16,0.9667,0.75,0.2167,0.0255,0.5,0.2167,0.0255,0.5,0.1154,Meaningful,True,0.68,0.08,0.0,False,False,11,35,0.2396,Meaningful,0.2153,Meaningful,0.68,0.68,0.0,Meaningful(no_CI),,,,Unknown,False,"{""n_valid"": 46, ""quartile_boundaries"": [1256.75, 1468.5, 1741.75], ""quartile_gaps"": {""Q1"": 0.0, ""Q2"": 0.033333333333333326, ""Q3"": 0.5, ""Q4"": 0.5}}",False,False,0.1046
