condition_id,model,universe,quartile,token_min,token_max,n_total,n_valid,n_violated,n_intact,n_parsed_violated,n_parsed_intact,dr_violated,dr_intact,gap,baseline_gap,effect_size,ci_lo,ci_hi,classification,parse_failure_rate
flash_L18_L2,flash,L1,Q1,153,362,12,12,7,5,7,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Null,0.0
flash_L18_L2,flash,L1,Q2,370,449,12,12,7,5,7,5,0.8571,0.8,0.0571,0.0,0.0571,-0.3333,0.6,Directional(no_CI),0.0
flash_L18_L2,flash,L1,Q3,452,501,12,12,8,4,8,2,1.0,0.5,0.5,0.0,0.5,0.0,1.0,Meaningful(no_CI),0.1667
flash_L18_L2,flash,L1,Q4,506,680,14,14,12,2,10,2,0.9,0.5,0.4,0.0,0.4,-0.2222,1.0,Meaningful(no_CI),0.1429
flash_L18_L2,flash,L2,Q1,153,362,12,12,7,5,7,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Null,0.0
flash_L18_L2,flash,L2,Q2,370,449,12,12,7,5,7,5,0.8571,0.8,0.0571,0.0,0.0571,-0.3333,0.6,Directional(no_CI),0.0
flash_L18_L2,flash,L2,Q3,452,501,12,12,8,4,8,2,1.0,0.5,0.5,0.0,0.5,0.0,1.0,Meaningful(no_CI),0.1667
flash_L18_L2,flash,L2,Q4,506,680,14,14,12,2,10,2,0.9,0.5,0.4,0.0,0.4,-0.2222,1.0,Meaningful(no_CI),0.1429
flash_L18_L2,flash,L3,Q1,153,362,12,12,7,5,7,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Null,0.0
flash_L18_L2,flash,L3,Q2,370,449,12,12,6,6,6,6,0.8333,0.8333,0.0,0.0,0.0,-0.5714,0.3333,Null,0.0
flash_L18_L2,flash,L3,Q3,452,501,12,12,8,4,8,2,1.0,0.5,0.5,0.0,0.5,0.0,1.0,Meaningful(no_CI),0.1667
flash_L18_L2,flash,L3,Q4,506,680,14,14,11,3,9,3,1.0,0.3333,0.6667,0.0,0.6667,0.0,1.0,Meaningful(no_CI),0.1429
flash_L18_L3,flash,L1,Q1,342,590,12,12,5,7,5,7,1.0,0.8571,0.1429,0.0,0.1429,0.0,0.6,Meaningful(no_CI),0.0
flash_L18_L3,flash,L1,Q2,606,693,12,12,9,3,8,3,0.875,1.0,-0.125,0.0,-0.125,-0.6667,0.0,Meaningful(no_CI),0.0833
flash_L18_L3,flash,L1,Q3,694,728,12,12,8,4,7,4,0.8571,1.0,-0.1429,0.0,-0.1429,-0.75,0.0,Meaningful(no_CI),0.0833
flash_L18_L3,flash,L1,Q4,729,883,14,14,12,2,12,2,1.0,0.5,0.5,0.0,0.5,0.0,1.0,Meaningful(no_CI),0.0
flash_L18_L3,flash,L2,Q1,342,590,12,12,5,7,5,7,1.0,0.8571,0.1429,0.0,0.1429,0.0,0.6,Meaningful(no_CI),0.0
flash_L18_L3,flash,L2,Q2,606,693,12,12,9,3,8,3,0.875,1.0,-0.125,0.0,-0.125,-0.6667,0.0,Meaningful(no_CI),0.0833
flash_L18_L3,flash,L2,Q3,694,728,12,12,8,4,7,4,0.8571,1.0,-0.1429,0.0,-0.1429,-0.75,0.0,Meaningful(no_CI),0.0833
flash_L18_L3,flash,L2,Q4,729,883,14,14,12,2,12,2,1.0,0.5,0.5,0.0,0.5,0.0,1.0,Meaningful(no_CI),0.0
